SERIALNUMBER,SERVICEAREA,SERVICETYPE,SYMPTOMCODE
371036700928,ITA_043 : DISTRETTO 2,Standard Repair,It doesn't work
608180073,ITA_009 : DISTRETTO 9,Standard Repair,Door will not Open
999999999,ITA_043 : DISTRETTO 2,Standard Repair,F2E1 on display
371210700592,ITA_043 : DISTRETTO 2,Standard Repair,Oven does not heat
405060643,ITA_088 : DISTRETTO 7,Installation,Oven door not aligned
151506007574,ITA_088 : DISTRETTO 7,Standard Repair,Oven light dims
371343012872,ITA_092 : DISTRETTO 5,Standard Repair,Oven does not heat
503246007,ITA_043 : DISTRETTO 2,Standard Repair,Oven door not aligned
371126700229,ITA_092 : DISTRETTO 5,Standard Repair,Outer glass broken - PREORD - NA
371210302391,ITA_006 : DISTRETTO 4,Complex Repair,Oven does not heat
371212702358,ITA_0MI : LAB_MI,R+1 Std (Maytag),It doesn't cook
999999999,ITA_043 : DISTRETTO 2,Standard Repair,Oven does not switch on
371138701060,ITA_017 : DISTRETTO 3,Standard Repair,Oven does not switch on
371037701636,ITA_088 : DISTRETTO 7,Standard Repair,Noise: from rotating plate
371434005572,ITA_017 : DISTRETTO 3,Standard Repair,Oven door not aligned
370906701975,ITA_006 : DISTRETTO 4,Standard Repair,Emergency cut-out triggers
610100084,ITA_088 : DISTRETTO 7,No accessories,Not assigned
371210700568,ITA_017 : DISTRETTO 3,Standard Repair,It doesn't work
605030014,ITA_043 : DISTRETTO 2,Standard Repair,Accessories / components / parts - broke
371322701470,ITA_071 : DISTRETTO 6,Standard Repair,Steam from the door
371251302537,ITA_008 : DISTRETTO 8,Standard Repair,Turntable not rotating - NOT AVOID - NA
151540000626,ITA_088 : DISTRETTO 7,Standard Repair,Outer glass damaged - PREORD - NA
151602006228,ITA_043 : DISTRETTO 2,Standard Repair,Oven does not switch on
403260362,ITA_071 : DISTRETTO 6,Standard Repair,Fan
371039700182,ITA_006 : DISTRETTO 4,Standard Repair,It doesn't work
151506005448,ITA_009 : DISTRETTO 9,Standard Repair,Door will not Open
371426011523,ITA_088 : DISTRETTO 7,Standard Repair,Oven door not aligned
605180511,ITA_009 : DISTRETTO 9,Non funz 1°utilizzo,Not assigned
506180544,ITA_006 : DISTRETTO 4,Standard Repair,Oven door not aligned
608180044,ITA_088 : DISTRETTO 7,Standard Repair,Outer glass damaged - PREORD - NA
151511000367,ITA_017 : DISTRETTO 3,Standard Repair,F2E1 on display
371122303106,ITA_017 : DISTRETTO 3,Special Authorizatio,Oven does not switch on
151629004752,ITA_017 : DISTRETTO 3,Standard Repair,Outer glass damaged - PREORD - NA
151616006680,ITA_008 : DISTRETTO 8,Complex Repair,Oven does not heat
512030192,ITA_043 : DISTRETTO 2,Installation,Outer glass broken - PREORD - NA
